Ticker,calendar_qtr_x,public_date,EV/EBITDA,P/E Ratio,P/S Ratio,Net Margin,EBITDA Margin,Return on Assets,Return on Equity,Debt-to-Equity,Interest Coverage,Quick Ratio,Current Ratio,Asset Turnover,Price-to-Book,date,Current Volume,predicted_volume
WDC,2013Q4,2013-10-31,5.024,17.495,1.073,0.064,0.216,0.235,0.126,0.778,37.909,1.613,1.912,1.087,2.087,2013-10-31,4324539.0,7968038.0
CDNS,2013Q4,2013-10-31,12.973,8.053,2.663,0.329,0.239,0.159,0.609,1.571,6.642,1.074,1.104,0.612,3.586,2013-10-31,5160245.0,4429969.0
PANW,2013Q4,2013-10-31,-402.38,-98.047,7.714,-0.074,-0.022,-0.018,-0.095,1.15,-251.64,2.57,2.57,0.797,11.217,2013-10-31,763600.0,534100.0
ADBE,2013Q4,2013-10-31,22.531,61.614,6.504,0.107,0.233,0.097,0.064,0.493,9.645,3.343,3.343,0.41,3.784,2013-10-31,3557454.0,2783941.0
LRCX,2013Q4,2013-10-31,15.088,82.22,2.446,0.032,0.16,0.076,0.024,0.551,4.525,2.303,2.701,0.472,1.961,2013-10-31,1997205.0,1646907.0
INTU,2013Q4,2013-10-31,13.408,26.254,4.874,0.197,0.351,0.288,0.262,0.554,41.1,1.872,1.872,0.82,5.748,2013-10-31,2044754.0,2410114.0
TISI,2013Q4,2013-10-31,12.395,270.217,1.058,0.04,0.098,0.159,0.103,0.618,18.429,3.453,3.877,1.579,2.49,2013-10-31,68800.0,146000.0
ANSS,2013Q4,2013-10-31,17.726,38.867,9.76,0.259,0.468,0.151,0.107,0.319,172.317,2.02,2.02,0.321,3.902,2013-10-31,310646.0,261011.0
WDAY,2013Q4,2013-10-31,-99.956,-88.082,14.006,-0.4,-0.284,-0.127,-0.168,0.818,-24.545,3.722,3.722,0.321,7.748,2013-10-31,436200.0,761400.0
GOOG,2013Q4,2013-10-31,15.277,1.523,5.303,0.211,0.322,0.189,0.159,0.297,169.951,4.269,4.306,0.564,3.531,2013-10-31,1826423.0,1435027.0
SNPS,2013Q4,2013-10-31,12.439,25.83,2.937,0.115,0.227,0.108,0.086,0.567,135.42,1.026,1.026,0.462,2.052,2013-10-31,877228.0,458065.0
NFLX,2013Q4,2013-10-31,48.363,58.315,4.846,0.012,0.044,0.044,0.064,3.917,5.138,0.623,1.446,0.949,17.284,2013-10-31,2763497.0,3323215.0
CSCO,2013Q4,2013-10-31,11.205,12.129,2.484,0.205,0.283,0.143,0.18,0.711,19.816,2.886,2.952,0.504,2.028,2013-10-31,34171369.0,33066423.0
AMZN,2013Q4,2013-10-31,35.323,-79.137,2.493,-0.002,0.052,0.132,-0.013,2.445,6.741,0.743,1.104,2.358,19.08,2013-10-31,2661867.0,3500430.0
IBM,2013Q4,2013-10-31,10.241,12.541,1.914,0.159,0.247,0.216,0.805,5.044,20.179,1.111,1.169,0.87,10.959,2013-10-31,4318200.0,3644600.0
NVDA,2014Q1,2014-01-31,10.351,0.51,2.179,0.114,0.192,0.129,0.097,0.321,208.673,4.132,4.539,0.683,1.971,2014-01-31,8383660.0,10793190.0
ANSS,2014Q1,2014-01-31,18.185,33.135,8.578,0.267,0.466,0.153,0.11,0.295,223.815,2.177,2.177,0.325,3.361,2014-01-31,587768.0,1009773.0
QCOM,2014Q1,2014-01-31,13.23,18.982,5.048,0.276,0.345,0.194,0.197,0.261,85.92,3.501,3.751,0.562,3.478,2014-01-31,15421279.0,15940062.0
HPQ,2014Q1,2014-01-31,5.287,11.069,0.493,0.046,0.116,0.122,0.185,2.861,11.457,0.974,1.106,1.047,1.849,2014-01-31,12944000.0,14657600.0
WDAY,2014Q1,2014-01-31,-120.05,-102.92,18.478,-0.361,-0.232,-0.086,-0.244,1.059,-10.114,3.704,3.704,0.329,12.308,2014-01-31,893500.0,1387100.0
AAPL,2014Q1,2014-01-31,7.993,12.594,2.613,0.217,0.326,0.291,0.272,0.675,360.287,1.638,1.679,0.892,3.189,2014-01-31,18220292.0,14374466.0
IBM,2014Q1,2014-01-31,9.792,11.995,1.913,0.165,0.254,0.218,0.849,5.204,20.903,1.11,1.168,0.854,9.652,2014-01-31,5195400.0,7187800.0
TISI,2014Q1,2014-01-31,12.881,302.357,1.184,0.041,0.096,0.152,0.101,0.6,17.174,3.413,3.83,1.563,2.735,2014-01-31,128900.0,115100.0
CRM,2014Q1,2014-01-31,278.443,-269.02,9.706,-0.036,0.027,0.017,-0.056,1.63,-3.223,0.711,0.711,0.535,12.533,2014-01-31,4617700.0,5492400.0
ADI,2014Q1,2014-01-31,18.01,22.556,5.728,0.256,0.342,0.15,0.151,0.346,29.129,9.095,9.592,0.439,3.179,2014-01-31,1927723.0,2892213.0
TXN,2014Q1,2014-01-31,11.959,25.238,3.782,0.158,0.306,0.187,0.164,0.78,25.691,2.128,2.7,0.62,3.958,2014-01-31,12821700.0,12669572.0
KLAC,2014Q1,2014-01-31,12.468,20.023,3.683,0.187,0.282,0.152,0.152,0.512,12.856,4.396,5.186,0.534,2.933,2014-01-31,1638394.0,2006484.0
AMD,2014Q1,2014-01-31,23.395,-3.988,0.51,-0.133,0.038,0.046,-1.121,8.17,-0.348,1.213,1.686,1.215,5.719,2014-01-31,13991100.0,22362900.0
ADBE,2014Q1,2014-01-31,39.546,105.696,7.248,0.072,0.185,0.074,0.041,0.544,6.654,2.652,2.652,0.398,4.14,2014-01-31,3112871.0,6649084.0
NOW,2014Q1,2014-01-31,-150.73,-140.96,23.493,-0.159,-0.094,-0.074,-0.246,0.99,-18.782,1.658,1.658,0.708,30.599,2014-01-31,3252800.0,2942200.0
CDNS,2014Q1,2014-01-31,13.408,9.229,2.857,0.308,0.231,0.144,0.494,1.39,6.361,1.029,1.06,0.587,3.724,2014-01-31,3552517.0,5546265.0
PANW,2014Q1,2014-01-31,-308.73,-21.082,9.831,-0.077,-0.026,-0.022,-0.132,1.108,-535.74,2.523,2.523,0.778,14.872,2014-01-31,1501200.0,1223900.0
SNPS,2014Q1,2014-01-31,12.836,25.228,3.064,0.126,0.227,0.105,0.094,0.563,152.241,1.184,1.184,0.461,2.156,2014-01-31,933815.0,1337760.0
INTU,2014Q1,2014-01-31,13.329,27.23,4.905,0.194,0.344,0.279,0.259,0.688,40.967,1.607,1.607,0.827,9.154,2014-01-31,2103797.0,2489320.0
ONNN,2014Q1,2014-01-31,11.15,-209.0,1.341,-0.006,0.144,0.117,-0.011,1.289,4.278,1.174,1.801,0.841,2.465,2014-01-31,5289778.0,4940284.0
NFLX,2014Q1,2014-01-31,57.05,49.139,5.907,0.017,0.051,0.051,0.085,3.58,6.201,0.648,1.466,0.936,20.327,2014-01-31,3378098.0,2879064.0
ORCL,2014Q1,2014-01-31,10.147,15.769,4.419,0.294,0.466,0.214,0.253,0.89,16.89,3.265,3.283,0.451,3.81,2014-01-31,17049600.0,21285900.0
FB,2014Q1,2014-01-31,24.193,148.976,17.992,0.152,0.475,0.21,0.083,0.244,34.894,10.596,10.596,0.451,9.474,2014-01-31,87930298.0,75108504.0
LRCX,2014Q1,2014-01-31,13.512,4.401,2.216,0.053,0.169,0.085,0.042,0.559,5.313,2.929,3.436,0.51,1.814,2014-01-31,3127220.0,4447815.0
CDW,2014Q1,2014-01-31,6.899,31.155,0.382,0.01,0.072,0.131,0.138,19.188,2.053,1.279,1.538,1.806,3.233,2014-01-31,141337.0,298911.0
MSFT,2014Q1,2014-01-31,8.362,14.067,3.908,0.282,0.405,0.247,0.296,0.767,63.104,2.765,2.826,0.587,3.745,2014-01-31,93194815.0,64104518.0
ENPH,2014Q1,2014-01-31,-13.876,-9.867,1.397,-0.138,-0.089,-0.169,-0.583,1.476,-11.09,1.963,2.56,1.905,7.736,2014-01-31,173382.0,572947.0
CSCO,2014Q1,2014-01-31,9.586,11.908,2.33,0.203,0.291,0.147,0.176,0.717,20.466,2.948,3.02,0.494,1.931,2014-01-31,43341195.0,60696168.0
MU,2014Q1,2014-01-31,6.169,14.675,2.167,0.162,0.276,0.204,0.234,0.934,4.636,1.601,2.255,0.675,2.651,2014-01-31,29536333.0,36036727.0
GOOG,2014Q1,2014-01-31,15.151,1.61,6.095,0.228,0.336,0.191,0.164,0.284,178.889,4.482,4.512,0.547,3.885,2014-01-31,5569895.0,4575609.0
AMZN,2014Q1,2014-01-31,35.043,64.052,2.349,0.002,0.053,0.131,0.016,2.554,5.829,0.753,1.109,2.292,18.129,2014-01-31,16183809.0,10292308.0
WDC,2014Q1,2014-01-31,4.698,22.152,1.346,0.063,0.213,0.229,0.117,0.728,38.096,1.708,2.031,1.067,2.467,2014-01-31,2045639.0,2531978.0
TSLA,2014Q1,2014-01-31,-204.97,-9.448,13.11,-0.087,-0.034,-0.046,-0.48,3.245,-9.046,0.839,1.245,1.08,39.613,2014-01-31,6512951.0,6778609.0
INTC,2014Q1,2014-01-31,6.197,13.265,2.328,0.181,0.384,0.245,0.173,0.623,26.247,2.047,2.411,0.609,2.037,2014-01-31,28858179.0,52928244.0
VMW,2014Q1,2014-01-31,27.517,44.186,2.342,0.176,0.253,0.12,0.151,0.803,256.738,2.207,2.207,0.457,1.8,2014-01-31,2522300.0,3204100.0
ONNN,2014Q2,2014-04-30,10.491,28.515,1.491,0.054,0.157,0.132,0.106,1.217,6.163,1.341,2.088,0.845,2.854,2014-04-30,5740569.0,7919060.0
HPQ,2014Q2,2014-04-30,5.466,12.11,0.559,0.047,0.118,0.125,0.19,3.083,12.27,0.979,1.116,1.061,2.096,2014-04-30,11338500.0,8956940.0
FB,2014Q2,2014-04-30,35.602,99.633,15.14,0.191,0.498,0.238,0.11,0.157,52.161,11.882,11.882,0.477,7.704,2014-04-30,76093004.0,82428856.0
ADBE,2014Q2,2014-04-30,37.049,116.396,7.586,0.067,0.188,0.074,0.038,0.518,6.547,2.637,2.637,0.394,4.403,2014-04-30,3722068.0,2839294.0
MSFT,2014Q2,2014-04-30,8.973,14.908,4.0,0.274,0.395,0.241,0.287,0.776,59.587,2.854,2.914,0.583,3.815,2014-04-30,35464148.0,28791455.0
SNPS,2014Q2,2014-04-30,13.314,24.115,2.96,0.125,0.223,0.105,0.091,0.533,160.356,1.171,1.171,0.464,2.062,2014-04-30,645612.0,503645.0
CSCO,2014Q2,2014-04-30,10.441,15.204,2.47,0.171,0.275,0.133,0.142,0.721,19.03,2.78,2.848,0.482,2.109,2014-04-30,23979302.0,17463860.0
TISI,2014Q2,2014-04-30,12.655,310.797,1.186,0.04,0.096,0.153,0.097,0.587,17.812,3.35,3.757,1.572,2.807,2014-04-30,42978.0,69891.0
ANSS,2014Q2,2014-04-30,19.972,29.578,8.21,0.285,0.468,0.151,0.116,0.274,283.359,2.424,2.424,0.323,3.21,2014-04-30,651106.0,1032985.0
INTC,2014Q2,2014-04-30,6.923,14.122,2.521,0.183,0.39,0.233,0.164,0.585,25.573,2.057,2.365,0.597,2.121,2014-04-30,25863926.0,19755249.0
CDW,2014Q2,2014-04-30,9.303,33.56,0.45,0.012,0.073,0.134,0.099,7.325,2.292,1.306,1.578,1.85,3.801,2014-04-30,254240.0,400118.0
ORCL,2014Q2,2014-04-30,10.288,17.176,4.809,0.293,0.467,0.213,0.254,0.916,16.716,3.262,3.28,0.446,4.077,2014-04-30,16480870.0,13946266.0
AMZN,2014Q2,2014-04-30,56.553,368.5,1.88,0.004,0.045,0.092,0.03,3.121,4.901,0.749,1.072,2.048,13.565,2014-04-30,4115006.0,4330167.0
TSLA,2014Q2,2014-04-30,426.86,-335.31,12.812,-0.037,0.022,0.025,-0.185,2.623,-3.057,1.371,1.875,1.14,34.102,2014-04-30,4436653.0,5444670.0
MU,2014Q2,2014-04-30,6.031,10.618,2.101,0.213,0.303,0.241,0.345,1.006,7.046,1.526,2.097,0.724,3.011,2014-04-30,28900839.0,28236683.0
ADI,2014Q2,2014-04-30,17.143,23.314,6.072,0.263,0.346,0.152,0.153,0.328,29.504,9.562,10.115,0.426,3.33,2014-04-30,1768066.0,1529080.0
ENPH,2014Q2,2014-04-30,-18.168,-12.177,1.382,-0.111,-0.065,-0.127,-1.284,1.902,-10.782,2.216,2.713,1.949,8.002,2014-04-30,137384.0,265842.0
NFLX,2014Q2,2014-04-30,81.223,174.076,4.413,0.026,0.063,0.059,0.108,3.059,7.836,0.628,1.42,0.933,14.477,2014-04-30,3375989.0,5287679.0
INTU,2014Q2,2014-04-30,15.151,32.234,5.208,0.174,0.319,0.258,0.235,0.737,35.452,1.662,1.662,0.822,9.436,2014-04-30,1549352.0,1356585.0
WDC,2014Q2,2014-04-30,5.46,20.531,1.356,0.069,0.211,0.227,0.128,0.751,37.283,1.635,1.938,1.052,2.413,2014-04-30,2284500.0,5061989.0
TXN,2014Q2,2014-04-30,13.316,23.796,4.019,0.177,0.324,0.203,0.189,0.752,28.011,2.289,2.919,0.627,4.32,2014-04-30,9914988.0,9211403.0
NVDA,2014Q2,2014-04-30,13.319,24.959,2.495,0.107,0.187,0.113,0.091,0.627,51.11,5.539,5.949,0.605,2.233,2014-04-30,7644474.0,4952689.0
PANW,2014Q2,2014-04-30,-148.1,-10.813,9.751,-0.147,-0.052,-0.044,-0.265,1.209,-765.31,2.4,2.4,0.787,16.555,2014-04-30,1049045.0,1611856.0
QCOM,2014Q2,2014-04-30,13.537,21.505,5.216,0.251,0.333,0.184,0.174,0.255,413.222,3.281,3.549,0.547,3.588,2014-04-30,9451504.0,7018325.0
NOW,2014Q2,2014-04-30,-196.24,-92.074,16.79,-0.174,-0.099,-0.051,-0.032,1.964,-18.782,2.432,2.432,0.516,18.084,2014-04-30,3084026.0,3002449.0
AAPL,2014Q2,2014-04-30,7.764,0.523,2.921,0.213,0.325,0.284,0.258,0.615,223.873,1.645,1.685,0.842,3.435,2014-04-30,16317269.0,8739982.0
AMD,2014Q2,2014-04-30,20.098,-37.182,0.588,-0.016,0.046,0.058,-0.153,6.972,0.48,1.236,1.782,1.271,5.725,2014-04-30,18419193.0,37807284.0
CRM,2014Q2,2014-04-30,514.104,-132.44,7.741,-0.057,0.019,0.01,-0.085,2.004,-3.705,0.673,0.673,0.555,10.28,2014-04-30,6858425.0,6406091.0
CDNS,2014Q2,2014-04-30,13.149,27.786,3.085,0.112,0.227,0.141,0.159,1.101,6.359,1.02,1.063,0.619,3.897,2014-04-30,5076153.0,3198653.0
VMW,2014Q2,2014-04-30,27.048,39.534,2.325,0.195,0.277,0.126,0.162,0.809,291.5,2.333,2.333,0.454,1.776,2014-04-30,2038303.0,2002299.0
KLAC,2014Q2,2014-04-30,12.797,19.569,3.773,0.196,0.291,0.157,0.16,0.518,13.562,4.317,5.074,0.531,2.989,2014-04-30,3010803.0,2399176.0
IBM,2014Q2,2014-04-30,9.868,13.151,1.994,0.165,0.241,0.196,0.752,4.532,19.178,1.221,1.279,0.813,8.106,2014-04-30,4211284.0,3675823.0
WDAY,2014Q2,2014-04-30,-136.33,-72.347,14.765,-0.368,-0.264,-0.079,-0.284,0.833,-7.813,4.797,4.797,0.299,5.832,2014-04-30,3573182.0,3500623.0
AKAM,2014Q2,2014-04-30,13.994,32.963,6.004,0.186,0.382,0.217,0.118,0.125,202.333,3.913,3.913,0.568,3.597,2014-04-30,1972812.0,4443540.0
LRCX,2014Q2,2014-04-30,12.587,2.91,2.355,0.086,0.185,0.101,0.074,0.557,7.115,2.584,3.048,0.542,2.0,2014-04-30,3280327.0,1950285.0
ISDR,2014Q2,2014-05-31,6.749,59.706,1.904,0.034,0.25,0.426,0.089,1.118,3.612,1.547,1.547,1.345,3.409,2014-05-30,120.0,7585.0
SNOW,2014Q2,2014-05-31,17.558,-2.002,0.974,-0.486,0.155,0.072,0.555,-4.016,0.109,0.895,1.118,0.466,1.331,2014-05-30,280930.0,42564.0
IBM,2014Q3,2014-07-31,9.857,12.693,1.967,0.169,0.25,0.204,0.806,5.249,19.375,1.146,1.206,0.807,11.514,2014-07-31,4208005.0,5181080.0
KLAC,2014Q3,2014-07-31,12.761,20.426,4.055,0.202,0.299,0.165,0.169,0.518,14.616,4.304,5.055,0.542,3.248,2014-07-31,1584206.0,1381287.0
AAPL,2014Q3,2014-07-31,7.873,0.571,3.252,0.214,0.328,0.28,0.26,0.687,164.875,1.61,1.652,0.84,4.099,2014-07-31,57042647.0,48519302.0
INTU,2014Q3,2014-07-31,13.769,28.168,5.277,0.191,0.344,0.303,0.289,0.771,42.29,1.748,1.748,0.89,7.128,2014-07-31,1638713.0,1226709.0
ENPH,2014Q3,2014-07-31,-29.012,-19.808,1.806,-0.089,-0.045,-0.095,-0.503,1.873,-8.937,1.981,2.489,2.113,12.138,2014-07-31,263932.0,414442.0
HPQ,2014Q3,2014-07-31,5.825,12.539,0.596,0.049,0.118,0.125,0.191,2.886,12.767,0.989,1.126,1.064,2.246,2014-07-31,10710126.0,11871516.0
FB,2014Q3,2014-07-31,25.919,96.867,16.419,0.216,0.52,0.291,0.146,0.173,52.161,11.688,11.688,0.528,8.747,2014-07-31,43991772.0,43540592.0
CSCO,2014Q3,2014-07-31,10.972,17.047,2.73,0.167,0.271,0.129,0.136,0.75,18.359,2.896,2.967,0.469,2.31,2014-07-31,28226460.0,28615871.0
ISDR,2014Q3,2014-07-31,6.749,51.176,1.632,0.034,0.25,0.426,0.089,1.118,3.612,1.547,1.547,1.345,2.922,2014-07-31,959.0,100.0
INTC,2014Q3,2014-07-31,6.609,18.22,3.172,0.18,0.39,0.235,0.162,0.598,26.539,2.024,2.349,0.587,2.692,2014-07-31,35432286.0,33478822.0
WDC,2014Q3,2014-07-31,6.291,23.504,1.537,0.068,0.21,0.22,0.125,0.775,37.558,1.637,1.936,1.023,2.666,2014-07-31,2214184.0,2504801.0
LRCX,2014Q3,2014-07-31,10.842,2.473,2.616,0.112,0.208,0.124,0.106,0.55,9.919,2.36,2.795,0.583,2.364,2014-07-31,6977136.0,2776791.0
MU,2014Q3,2014-07-31,6.172,9.887,2.185,0.241,0.319,0.259,0.412,1.031,8.445,1.49,2.03,0.748,3.291,2014-07-31,64996154.0,26182981.0
AKAM,2014Q3,2014-07-31,14.234,36.432,6.325,0.177,0.383,0.227,0.118,0.183,202.333,3.852,3.852,0.544,3.839,2014-07-31,5135753.0,3808828.0
PANW,2014Q3,2014-07-31,-105.12,-4.679,11.708,-0.395,-0.071,-0.061,-0.757,1.499,-1182.4,1.902,1.902,0.762,22.939,2014-07-31,911346.0,1411946.0
AMD,2014Q3,2014-07-31,12.16,78.2,0.534,0.008,0.073,0.1,0.098,8.015,1.028,1.22,1.765,1.347,5.857,2014-07-31,112162894.0,33714228.0
AMZN,2014Q3,2014-07-31,35.528,24.84,1.851,0.004,0.056,0.135,0.033,2.642,5.52,0.72,1.074,2.264,14.002,2014-07-31,5193770.0,7443611.0
TXN,2014Q3,2014-07-31,12.056,22.672,4.013,0.186,0.341,0.217,0.198,0.757,30.186,2.385,3.027,0.643,4.426,2014-07-31,8565848.0,7318135.0
WDAY,2014Q3,2014-07-31,-107.42,-74.857,14.847,-0.37,-0.246,-0.085,-0.264,1.063,-6.421,4.324,4.324,0.29,6.901,2014-07-31,1714087.0,1772263.0
VMW,2014Q3,2014-07-31,25.787,41.4,2.403,0.193,0.274,0.129,0.164,0.83,150.167,2.332,2.332,0.442,1.827,2014-07-31,1910387.0,1976599.0
TSLA,2014Q3,2014-07-31,648.649,-13.411,13.43,-0.065,0.016,0.017,-0.265,2.957,-3.163,1.436,1.808,0.756,30.339,2014-07-31,7749063.0,11899993.0
ORCL,2014Q3,2014-07-31,11.874,16.971,4.701,0.286,0.466,0.207,0.238,0.915,16.33,3.332,3.345,0.445,3.817,2014-07-31,13690385.0,15075874.0
SNOW,2014Q3,2014-07-31,17.558,-1.977,0.962,-0.486,0.155,0.072,0.555,-4.016,0.109,0.895,1.118,0.466,1.315,2014-07-31,80925.0,62343.0
CRM,2014Q3,2014-07-31,292.021,-123.3,7.562,-0.059,0.026,0.014,-0.093,1.819,-3.465,0.609,0.609,0.52,10.636,2014-07-31,4291378.0,4311853.0
ANSS,2014Q3,2014-07-31,18.212,29.034,8.056,0.285,0.468,0.157,0.118,0.27,317.472,2.405,2.405,0.328,3.124,2014-07-31,584226.0,515899.0
ADI,2014Q3,2014-07-31,17.436,21.863,5.828,0.268,0.35,0.151,0.154,0.335,29.781,9.6,10.137,0.419,3.148,2014-07-31,1888828.0,1699246.0
TISI,2014Q3,2014-07-31,12.827,28.293,1.08,0.04,0.097,0.154,0.095,0.539,17.96,2.971,3.311,1.586,2.476,2014-07-31,91602.0,33741.0
QCOM,2014Q3,2014-07-31,13.801,19.711,4.805,0.252,0.336,0.186,0.175,0.252,580.769,3.35,3.595,0.552,3.23,2014-07-31,15260627.0,15205922.0
NOW,2014Q3,2014-07-31,-122.47,-79.459,17.729,-0.217,-0.128,-0.087,-0.342,1.596,-18.782,1.937,1.937,0.544,20.981,2014-07-31,3004535.0,1959752.0
SNPS,2014Q3,2014-07-31,14.013,24.849,2.962,0.121,0.215,0.101,0.087,0.544,140.91,1.146,1.146,0.456,2.014,2014-07-31,704773.0,836770.0
CDW,2014Q3,2014-07-31,9.071,32.177,0.483,0.014,0.072,0.134,0.151,9.233,2.582,1.298,1.558,1.843,4.103,2014-07-31,713455.0,511318.0
CDNS,2014Q3,2014-07-31,13.898,42.075,3.288,0.08,0.221,0.133,0.11,1.235,6.347,0.974,1.012,0.589,4.02,2014-07-31,2526468.0,4887069.0
NFLX,2014Q3,2014-07-31,55.595,22.702,5.497,0.035,0.074,0.072,0.146,3.069,9.063,0.704,1.504,0.887,17.182,2014-07-31,1975287.0,2707211.0
MSFT,2014Q3,2014-07-31,10.154,16.165,4.267,0.269,0.382,0.222,0.271,0.785,49.909,2.926,2.984,0.561,3.963,2014-07-31,31540882.0,31180968.0
NVDA,2014Q3,2014-07-31,11.721,0.515,2.217,0.117,0.194,0.134,0.108,0.484,28.364,4.603,5.012,0.674,2.184,2014-07-31,10047917.0,5497722.0
ADBE,2014Q3,2014-07-31,40.739,123.661,8.39,0.069,0.185,0.074,0.04,0.538,6.536,2.225,2.225,0.398,4.929,2014-07-31,3822933.0,2109599.0
ONNN,2014Q3,2014-07-31,9.255,20.878,1.335,0.065,0.175,0.153,0.127,1.201,7.732,1.278,1.976,0.868,2.506,2014-07-31,7208948.0,9765973.0
PANW,2014Q4,2014-10-31,-129.39,-34.656,14.201,-0.379,-0.089,-0.052,-0.611,2.155,-37.299,2.752,2.752,0.58,18.129,2014-10-31,1181842.0,1322892.0
INTU,2014Q4,2014-10-31,15.788,29.733,5.575,0.191,0.335,0.283,0.258,0.69,42.387,1.844,1.844,0.843,8.002,2014-10-31,1537333.0,858664.0
ADI,2014Q4,2014-10-31,17.699,21.763,5.659,0.265,0.35,0.15,0.151,0.456,29.792,4.953,5.254,0.385,2.923,2014-10-31,6689172.0,3318910.0
ADBE,2014Q4,2014-10-31,47.311,146.083,8.498,0.06,0.175,0.07,0.035,0.554,6.332,2.022,2.022,0.397,4.942,2014-10-31,2949402.0,1889002.0
TISI,2014Q4,2014-10-31,12.183,277.237,1.136,0.042,0.1,0.16,0.103,0.551,19.059,3.252,3.639,1.59,2.585,2014-10-31,81132.0,124565.0
SNOW,2014Q4,2014-10-31,14.62,-2.539,0.909,-0.358,0.142,0.067,0.1,2.259,0.105,0.944,1.322,0.472,1.405,2014-10-31,58262.0,36599.0
INTC,2014Q4,2014-10-31,6.557,16.92,3.05,0.191,0.408,0.244,0.17,0.587,30.011,2.002,2.31,0.588,2.592,2014-10-31,52089698.0,28713617.0
SNPS,2014Q4,2014-10-31,13.711,25.453,3.159,0.125,0.217,0.101,0.09,0.532,124.307,1.129,1.129,0.458,2.133,2014-10-31,780688.0,707455.0
QCOM,2014Q4,2014-10-31,14.182,18.964,4.987,0.272,0.339,0.191,0.192,0.252,1294.83,3.513,3.722,0.559,3.378,2014-10-31,10144491.0,8732669.0
TXN,2014Q4,2014-10-31,11.823,23.875,4.18,0.184,0.361,0.237,0.202,0.745,33.825,2.568,3.278,0.67,4.79,2014-10-31,14552309.0,6921468.0
GOOGL,2014Q4,2014-10-31,17.689,1.382,2.659,0.231,0.34,0.191,0.161,0.269,180.033,4.607,4.627,0.536,1.661,2014-10-31,2341539.0,1544338.0
ANET,2014Q4,2014-10-31,14.235,6.862,11.097,0.126,0.216,0.276,0.109,1.176,11.239,1.812,2.253,1.023,11.346,2014-10-31,647621.0,501142.0
AKAM,2014Q4,2014-10-31,15.049,35.893,6.101,0.174,0.378,0.218,0.118,0.244,62.607,3.966,3.966,0.531,3.82,2014-10-31,3739678.0,1181786.0
CTSH,2014Q4,2014-10-31,14.41,21.857,3.098,0.142,0.21,0.259,0.229,0.291,6282.41,3.865,3.865,1.171,4.243,2014-10-31,5708193.0,3404329.0
NOW,2014Q4,2014-10-31,-102.57,-73.043,18.25,-0.245,-0.152,-0.094,-0.392,1.853,-18.782,2.061,2.061,0.512,24.861,2014-10-31,1712333.0,1289813.0
HPQ,2014Q4,2014-10-31,6.025,13.489,0.597,0.045,0.118,0.126,0.173,2.726,13.686,1.007,1.145,1.074,2.252,2014-10-31,20048201.0,12497190.0
ANSS,2014Q4,2014-10-31,18.093,28.882,8.055,0.288,0.465,0.156,0.119,0.264,394.029,2.462,2.462,0.328,3.183,2014-10-31,382261.0,341895.0
ENPH,2014Q4,2014-10-31,-42.673,-34.136,2.439,-0.068,-0.029,-0.067,-0.456,2.129,-7.458,1.891,2.328,2.229,17.636,2014-10-31,631646.0,638879.0
WDAY,2014Q4,2014-10-31,-97.478,-74.016,15.323,-0.377,-0.252,-0.084,-0.258,0.98,-6.568,4.217,4.217,0.304,8.292,2014-10-31,2164990.0,896400.0
MU,2014Q4,2014-10-31,7.642,13.028,2.171,0.186,0.334,0.262,0.302,1.009,9.543,1.619,2.129,0.786,3.23,2014-10-31,28541397.0,19657739.0
CDNS,2014Q4,2014-10-31,14.578,39.889,3.501,0.088,0.218,0.13,0.118,1.178,6.659,0.99,1.032,0.583,4.168,2014-10-31,2933401.0,3510955.0
TSLA,2014Q4,2014-10-31,536.983,-11.936,12.438,-0.068,0.02,0.018,-0.239,3.567,-1.942,1.52,1.879,0.689,31.648,2014-10-31,3775327.0,4207268.0
AMD,2014Q4,2014-10-31,10.366,25.455,0.369,0.014,0.083,0.117,0.175,7.547,1.478,1.246,1.826,1.385,4.333,2014-10-31,14704782.0,11739620.0
CDW,2014Q4,2014-10-31,9.35,27.053,0.468,0.017,0.073,0.139,0.168,7.051,3.024,1.298,1.567,1.896,3.895,2014-10-31,576288.0,549624.0
AMZN,2014Q4,2014-10-31,34.835,40.192,1.73,0.002,0.057,0.135,0.019,2.679,4.506,0.698,1.05,2.236,13.34,2014-10-31,4551795.0,3244150.0
NVDA,2014Q4,2014-10-31,11.952,0.537,2.412,0.12,0.197,0.137,0.119,0.551,20.152,5.078,5.496,0.658,2.361,2014-10-31,6408266.0,7719851.0
AAPL,2014Q4,2014-10-31,8.585,4.348,3.556,0.216,0.332,0.282,0.272,0.741,145.932,1.524,1.563,0.828,4.489,2014-10-31,44639285.0,52282550.0
NFLX,2014Q4,2014-10-31,54.459,16.85,4.837,0.042,0.085,0.08,0.16,3.033,9.583,0.728,1.515,0.862,14.7,2014-10-31,2926677.0,2515483.0
FB,2014Q4,2014-10-31,27.277,81.511,16.656,0.238,0.542,0.321,0.165,0.142,52.161,12.281,12.281,0.551,9.09,2014-10-31,44546325.0,40727330.0
VMW,2014Q4,2014-10-31,28.12,37.814,1.96,0.172,0.263,0.121,0.145,0.878,84.121,2.335,2.335,0.433,1.546,2014-10-31,1915037.0,2364488.0
WDC,2014Q4,2014-10-31,7.679,14.726,1.51,0.107,0.207,0.212,0.193,0.753,36.269,1.949,2.268,1.025,2.584,2014-10-31,2665907.0,2789848.0
